대지위치,건축면적,주구조,용도,지붕구조,사용승인년도
대전광역시 대덕구 갈전동 228-1,131.11,철근콘크리트구조,단독주택,(철근)콘크리트,2021
대전광역시 대덕구 갈전동 228-3,90.5,일반목구조,단독주택,슬레이트,1980
대전광역시 대덕구 갈전동 233,85.12,일반목구조,제2종근린생활시설,기와,2016
대전광역시 대덕구 갈전동 236-2,125.9,벽돌구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 236-3,90.18,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 236-4,90.6,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 236-5,92.2,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 236-7,95.84,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 237,186.38,철근콘크리트구조,단독주택,(철근)콘크리트,2007
대전광역시 대덕구 갈전동 238-12,105.5,블록구조,단독주택,(철근)콘크리트,1981
대전광역시 대덕구 갈전동 238-2,94.78,벽돌구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 238-4,102.56,벽돌구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 238-6,110.04,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 238-7,69.74,블록구조,단독주택,기와,1981
대전광역시 대덕구 갈전동 239-2,63.8,일반목구조,단독주택,기타지붕,1980
대전광역시 대덕구 갈전동 241,96.86,벽돌구조,단독주택,(철근)콘크리트,1992
대전광역시 대덕구 갈전동 37-12,57.16,벽돌구조,단독주택,기와,1983
대전광역시 대덕구 갈전동 455-3,106.58,벽돌구조,제2종근린생활시설,기타지붕,2006
대전광역시 대덕구 갈전동 475,139.5,벽돌구조,단독주택,기와,1980
대전광역시 대덕구 갈전동 477,174.81,경량철골구조,단독주택,기타지붕,1996
대전광역시 대덕구 갈전동 477-4,62.0,철근콘크리트구조,창고시설,(철근)콘크리트,2011
대전광역시 대덕구 갈전동 478,205.7,철근콘크리트구조,단독주택,기와,2010
대전광역시 대덕구 갈전동 480,118.8,경량철골구조,창고시설,기타지붕,2004
대전광역시 대덕구 대화동 1-10,4031.73,강파이프구조,공장,슬레이트,2006
대전광역시 대덕구 대화동 1-11,7393.82,일반철골구조,공장,기타지붕,1994
대전광역시 대덕구 대화동 1-12,730.95,철근콘크리트구조,공장,기타지붕,1976
대전광역시 대덕구 대화동 1-14,2580.48,철근콘크리트구조,공장,(철근)콘크리트,1979
대전광역시 대덕구 대화동 1-15,2872.04,철근콘크리트구조,자동차관련시설,(철근)콘크리트,2014
대전광역시 대덕구 대화동 1-17,1189.36,일반철골구조,공장,기타지붕,2020
대전광역시 대덕구 대화동 1-19,1269.675,일반철골구조,공장,기타지붕,2021
대전광역시 대덕구 대화동 1-20,2466.36,일반철골구조,공장,기타지붕,1994
대전광역시 대덕구 대화동 1-21,4208.11,철근콘크리트구조,공장,(철근)콘크리트,1994
대전광역시 대덕구 대화동 1-22,1481.66,일반철골구조,공장,기타지붕,2009
대전광역시 대덕구 대화동 1-23,2984.66,철근콘크리트구조,공장,(철근)콘크리트,1975
대전광역시 대덕구 대화동 1-24,2020.36,일반철골구조,공장,기타지붕,2015
대전광역시 대덕구 대화동 1-25,889.76,일반철골구조,공장,기타지붕,2014
대전광역시 대덕구 대화동 1-27,1123.54,경량철골구조,공장,슬레이트,1991
대전광역시 대덕구 대화동 1-28,362.46,철근콘크리트구조,공장,기타지붕,1998
대전광역시 대덕구 대화동 1-3,2334.0,일반철골구조,공장,기타지붕,2022
대전광역시 대덕구 대화동 1-30,5755.83,일반철골구조,공장,기타지붕,2013
대전광역시 대덕구 대화동 1-31,2975.33,철근콘크리트구조,공장,(철근)콘크리트,2001
대전광역시 대덕구 대화동 1-32,277.5,일반철골구조,공장,기타지붕,1981
대전광역시 대덕구 대화동 1-33,934.5,벽돌구조,공장,기타지붕,1976
대전광역시 대덕구 대화동 1-34,441.84,블록구조,공장,기타지붕,1976
대전광역시 대덕구 대화동 1-38,1683.76,일반철골구조,공장,기타지붕,2017
대전광역시 대덕구 대화동 1-39,1832.5,경량철골구조,공장,기타지붕,2005
대전광역시 대덕구 대화동 1-4,1008.2,블록구조,공장,슬레이트,1980
대전광역시 대덕구 대화동 1-40,1161.0,일반철골구조,공장,(철근)콘크리트,2003
대전광역시 대덕구 대화동 1-42,1009.52,일반철골구조,공장,기타지붕,2015
대전광역시 대덕구 대화동 1-43,723.24,일반철골구조,공장,기타지붕,2015
대전광역시 대덕구 대화동 1-44,1686.4,경량철골구조,공장,기타지붕,2015
대전광역시 대덕구 대화동 1-46,2085.29,철근콘크리트구조,공장,(철근)콘크리트,1978
대전광역시 대덕구 대화동 1-47,970.79,일반철골구조,공장,기타지붕,2016
대전광역시 대덕구 대화동 1-48,929.9,일반철골구조,공장,기타지붕,2019
대전광역시 대덕구 대화동 1-49,1176.76,철근콘크리트구조,공장,슬레이트,1971
대전광역시 대덕구 대화동 1-50,1084.07,철근콘크리트구조,공장,슬레이트,1971
대전광역시 대덕구 대화동 1-54,1103.58,일반철골구조,공장,기타지붕,2019
대전광역시 대덕구 대화동 1-55,692.8,일반철골구조,공장,기타지붕,2020
대전광역시 대덕구 대화동 1-56,598.49,일반철골구조,공장,기타지붕,2021
대전광역시 대덕구 대화동 1-57,1135.56,일반철골구조,공장,기타지붕,2021
대전광역시 대덕구 대화동 1-58,1255.7,일반철골구조,공장,기타지붕,2021
대전광역시 대덕구 대화동 1-59,1200.0,일반철골구조,공장,기타지붕,2020
대전광역시 대덕구 대화동 1-7,2025.25,일반철골구조,공장,슬레이트,1978
대전광역시 대덕구 대화동 1-8,6428.32,철근콘크리트구조,공장,(철근)콘크리트,1978
대전광역시 대덕구 대화동 1-9,3811.27,철근콘크리트구조,공장,(철근)콘크리트,1977
대전광역시 대덕구 대화동 10-17,119.15,벽돌구조,단독주택,(철근)콘크리트,1982
